code_insee,nom_standard,dep_code,population,superficie_km2,densite,latitude_mairie,longitude_mairie
01001,L'Abergement-Clémenciat,01,832,16,53.0,46.151,4.921
01002,L'Abergement-de-Varey,01,267,9,29.0,46.007,5.423
01004,Ambérieu-en-Bugey,01,14854,24,607.0,45.958,5.36
01005,Ambérieux-en-Dombes,01,1897,16,118.0,45.996,4.903
01006,Ambléon,01,113,6,19.0,45.748,5.601
01007,Ambronay,01,2833,34,84.0,46.008,5.361
01008,Ambutrix,01,768,5,148.0,45.939,5.337
01009,Andert-et-Condon,01,322,7,46.0,45.794,5.656
01010,Anglefort,01,1125,29,38.0,45.914,5.809
01011,Apremont,01,383,15,25.0,46.208,5.659
01012,Aranc,01,327,22,15.0,46.003,5.508
01013,Arandas,01,141,14,10.0,45.897,5.486
01014,Arbent,01,3409,24,144.0,46.295,5.682
01015,Arboys en Bugey,01,667,13,51.0,45.729,5.65
01016,Arbigny,01,459,18,26.0,46.47,4.971
01017,Argis,01,432,8,55.0,45.934,5.49
01019,Armix,01,26,7,4.0,45.849,5.586
01021,Ars-sur-Formans,01,1498,6,269.0,45.993,4.822
01022,Artemare,01,1177,3,352.0,45.875,5.693
01023,Asnières-sur-Saône,01,77,5,16.0,46.383,4.883
01024,Attignat,01,3336,19,176.0,46.29,5.159
01025,Bâgé-Dommartin,01,4065,40,102.0,46.317,4.947
01026,Bâgé-le-Châtel,01,979,1,1138.0,46.308,4.929
01027,Balan,01,2692,18,150.0,45.833,5.097
01028,Baneins,01,621,9,69.0,46.111,4.901
01029,Beaupont,01,700,14,50.0,46.41,5.265
01030,Beauregard,01,830,1,874.0,46.003,4.751
01031,Bellignat,01,3636,8,467.0,46.242,5.629
01032,Béligneux,01,3434,13,258.0,45.852,5.129
01033,Valserhône,01,16295,15,1055.0,46.108,5.826
01034,Belley,01,9239,23,409.0,45.761,5.686
01035,Belleydoux,01,306,18,17.0,46.253,5.777
01036,Valromey-sur-Séran,01,1342,20,68.0,45.882,5.664
01037,Bénonces,01,310,15,20.0,45.827,5.478
01038,Bény,01,764,18,42.0,46.321,5.284
01040,Béréziat,01,480,11,43.0,46.367,5.046
01041,Bettant,01,749,3,218.0,45.943,5.363
01042,Bey,01,290,3,104.0,46.22,4.846
01043,Beynost,01,4877,11,455.0,45.84,5.001
01044,Billiat,01,626,14,45.0,46.078,5.784
01045,Birieux,01,284,16,18.0,45.953,5.039
01046,Biziat,01,904,12,78.0,46.217,4.944
01047,Blyes,01,1292,9,138.0,45.846,5.25
01049,La Boisse,01,3361,9,358.0,45.842,5.032
01050,Boissey,01,386,9,41.0,46.381,4.997
01051,Bolozon,01,95,5,19.0,46.192,5.473
01052,Bouligneux,01,327,26,12.0,46.022,4.991
01053,Bourg-en-Bresse,01,41525,24,1730.0,46.205,5.225
01054,Bourg-Saint-Christophe,01,1517,9,170.0,45.89,5.158
01056,Boyeux-Saint-Jérôme,01,356,17,21.0,46.03,5.459
01057,Boz,01,510,8,66.0,46.407,4.91
01058,Brégnier-Cordon,01,818,11,73.0,45.648,5.619
01060,Brénod,01,518,24,22.0,46.06,5.606
01061,Brens,01,1129,7,165.0,45.718,5.696
